ppid	session	object	feedback	eye	vertical	symmetry	model	efrc_errX	efrc_errY	efrc_errZ	efrc_err	first_gaze_errX	first_gaze_errY	first_gaze_errZ	first_gaze_err	final_gaze_errX	final_gaze_errY	final_gaze_errZ	final_gaze_err	efrc_err_cursor	efrc_err_hand	efrc_err_none	efrc_err_cog	efrc_err_bbox	efrc_err_random
10	1	oben_asym	cursor	L	high	asym	cog	0.05187822846816313	0.08233509832564945	0.015578514696523337	0.09855510704899613	0.0007301297362047408	0.34796295510606456	0.02629155298391914	0.34895558023032536	0.06729043796987659	0.16048510488742196	0.025769691464548612	0.1759191545315139	0.09855510704899613			0.09855510704899613		
10	1	oben_asym	cursor	L	high	asym	bbox	0.03215099260324898	0.12779864356511272	0.015836378937365808	0.13272893625846904	0.018997106128709407	0.39342650034552784	0.02654941722476161	0.3947786376823973	0.04756320210496244	0.20594865012688524	0.026027555705391083	0.2129660497346019	0.13272893625846904				0.13272893625846904	
10	1	oben_asym	cursor	L	high	asym	random	0.1325025027175748	0.18087568838850326	0.14715740064884247	0.3012125566256469	0.1304109176251815	0.38974067076139723	0.14822870447758205	0.45870963312366514	0.13517354025061318	0.21657375596769232	0.14817651832564502	0.33333897145437796	0.3012125566256469					0.3012125566256469
10	1	mitte_sym	cursor	L	middle	sym	cog	0.003645530730172405	0.05305707590160924	0.012923234918337663	0.054729820009646456	0.011720251545320996	0.288909740592265	0.02610151383046326	0.2903230812898232	0.001760599202826641	0.036254792805298364	0.0022354040290819654	0.03636628578891916	0.054729820009646456			0.054729820009646456		
10	1	mitte_sym	cursor	L	middle	sym	bbox	0.0036455902365773642	0.04037459414904737	0.012923217714749696	0.04254888643638208	0.011720192038916038	0.30159222234482685	0.026101496626875293	0.3029463972495519	0.0017605396964216816	0.04893727455786023	0.002235386825493998	0.04901992753394953	0.04254888643638208				0.04254888643638208	
10	1	mitte_sym	cursor	L	middle	sym	random	0.14654504787427505	0.16259751632628608	0.16271169450033032	0.29764796755531064	0.14388447037986077	0.3094131241408147	0.16226022488727568	0.4148979084286625	0.1455167183772687	0.1648907509954906	0.16313920773590054	0.3030371104830583	0.29764796755531064					0.29764796755531064
10	1	mitte_asym	cursor	L	middle	asym	cog	0.11308106344063898	0.05922253002582248	0.028940361945063067	0.13088995194833145	0.09164977531083886	0.33751002557937193	0.03783863638606615	0.35177330922722444	0.09053777812204689	0.004549541667574708	0.025712793582217716	0.0942281027637919	0.13088995194833145			0.13088995194833145		
10	1	mitte_asym	cursor	L	middle	asym	bbox	0.09842219369357648	0.04498328334960097	0.02894089667594891	0.11201785345548415	0.10630864505790136	0.35174927225559344	0.037839171116951995	0.36940611989679384	0.07587890837498439	0.018788788343796214	0.025713328313103558	0.08229096278780983	0.11201785345548415				0.11201785345548415	
10	1	mitte_asym	cursor	L	middle	asym	random	0.16594995733157208	0.1411090104294812	0.15091095352440667	0.2949552356526758	0.16565175308777516	0.34547823145720713	0.15258997436738803	0.4399818354624731	0.15902031654245782	0.1321065627797969	0.15032999121909452	0.2855450989768148	0.2949552356526758					0.2949552356526758
10	1	unten_sym	cursor	L	low	sym	cog	0.0021609641563321612	0.12404638270957338	0.010276299231848203	0.12449006850073376	0.002174648936204338	0.4370087661850909	0.14392212882605748	0.4601032166660384	0.008738283873653972	0.008279224678942626	0.009945113827904521	0.01561436695453746	0.12449006850073376			0.12449006850073376		
10	1	unten_sym	cursor	L	low	sym	bbox	0.002160973703275063	0.20540871426212878	0.01027632219240525	0.20567696151968318	0.0021746393892614364	0.3556464346325355	0.14392215178661452	0.383670042221434	0.00873827432671107	0.08964155623149803	0.009945090867347474	0.09061385586196781	0.20567696151968318				0.20567696151968318	
10	1	unten_sym	cursor	L	low	sym	random	0.1467536138468935	0.19640188719063228	0.1467651763782215	0.32392096426434924	0.14692703837059495	0.3863899766806859	0.1581335878284823	0.4751530889622721	0.14724857150502724	0.15475375697107185	0.15031152393516328	0.29484929997047876	0.32392096426434924					0.32392096426434924
10	1	unten_asym	cursor	L	low	asym	cog	0.08938250557347797	0.11823717290187721	0.015477161043792624	0.1490261851903776	0.03339886654917255	0.4794353932222416	0.037345661444139824	0.48204613782254824	0.08600714113977963	0.04593681071914732	0.001980806637163134	0.09752611189326975	0.1490261851903776			0.1490261851903776		
10	1	unten_asym	cursor	L	low	asym	bbox	0.06217951790959479	0.2017467809946497	0.014182800875083584	0.2115873529534198	0.06060185421305573	0.3959257851294691	0.03605130127543079	0.4021560746626847	0.058804153475896445	0.03757279737362518	0.0006864464684540944	0.06978620764341857	0.2115873529534198				0.2115873529534198	
10	1	unten_asym	cursor	L	low	asym	random	0.14596309503790417	0.21413176011784654	0.15661528576658765	0.3434984059074019	0.1538930055719615	0.41246579284352414	0.16273718607536025	0.4973636623642807	0.14527800807951385	0.17338018760228388	0.15373568569158594	0.30192671296102047	0.3434984059074019					0.3434984059074019
10	1	oben_sym	cursor	L	high	sym	cog	0.002801265037339475	0.07614888049119795	0.02504703361105776	0.08021130206264965	0.02837716158478788	0.3149180808767912	0.03376725775990723	0.3179919631993148	0.0013372487215103806	0.1571754215134814	0.007723172387737948	0.15737073665016138	0.08021130206264965			0.08021130206264965		
