ppid	session	object	feedback	eye	vertical	symmetry	efrc3d_X	efrc3d_Y	efrc3d_Z	first_gaze3d_X	first_gaze3d_Y	first_gaze3d_Z	final_gaze3d_X	final_gaze3d_Y	final_gaze3d_Z
10	1	oben_asym	cursor	L	high	asym	0.062395599336571114	0.4220626049175207	0.013437223439814829	0.011247500604612722	0.6876904616979358	0.02415026172721063	0.07780780883828457	0.5002126114792932	0.023628400207840104
10	1	mitte_sym	cursor	L	middle	sym	0.0036454650668233664	0.2540122456244585	0.01292311042638911	-0.011720317208670035	0.5959790621183327	0.026101389338514705	-0.0017606648661756795	0.3433241143313661	0.0022352795371334113
10	1	mitte_asym	cursor	L	middle	asym	-0.16326314823573645	0.24938027484965572	0.02894078044689164	0.041467690515741375	0.6461128304548501	0.03783905488789473	-0.14071986291714436	0.3131523465430529	0.02571321208404629
10	1	unten_sym	cursor	L	low	sym	-0.0021609915846685385	0.08858016643923425	0.01027628642961841	0.0021746215078679606	0.6496353153338985	0.14392211602382768	0.008738256445317595	0.204347324469865	-0.009945126630134315
10	1	unten_asym	cursor	L	low	asym	0.15408616976410988	0.09223407096106206	0.014182872400657272	0.03130479764145936	0.6899066370851809	0.036051372801004476	0.15071080533041153	0.2564080545820866	0.0006865179940277825
10	1	oben_sym	cursor	L	high	sym	-0.0026468638899838034	0.4115704785692602	0.023036235429838108	0.02853156273214355	0.6503396789548535	0.03175645957868758	0.0014916498688660525	0.49259701959154367	0.005712374206518297
11	1	oben_asym	cursor	L	high	asym	0.008517072855445777	0.36491572408529876	0.017063856876039382	-0.052082494573167756	0.39166743022083067	-0.012069923892225994	-0.004892338712533303	0.4924646731193379	0.0017228227936333701
11	1	mitte_sym	cursor	L	middle	sym	-0.004843889171165205	0.3361437568499704	0.04457148511387145	0.04028756898035753	0.516060760317478	-0.025827167475395985	-0.006394220521085308	0.43162412442093345	0.005283201595748605
11	1	mitte_asym	cursor	L	middle	asym	-0.02205128900199951	0.3284563888149456	0.03299226696456039	0.03576734097426669	0.5071338185546863	-0.04199006840212949	-0.04786374403618313	0.3670251352129225	-0.05095371243665911
11	1	unten_sym	cursor	L	low	sym	-0.007021990443895066	0.2660699201962764	0.002041026518029848	-0.00048781982480736765	0.48151506953788226	0.030063158919190307	-0.008533047743264556	0.425571453034212	-0.01753740144675906
