ppid	session	trial	feedback	variable	error_m	error_deg	error_m_schwind
10	1	0	cursor	gaze_err	0.10613898406927964	1.7369864763929956	0.06065084803958837
10	1	1	cursor	gaze_err	0.02046133550647209	0.3349528035081611	0.011692191717984052
10	1	2	cursor	gaze_err	0.17246880292012576	2.821070814737329	0.0985536016686433
10	1	4	cursor	gaze_err	0.028148035161230454	0.4607796706528849	0.016084591520703115
10	1	5	cursor	gaze_err	0.15924843072887168	2.6051355447073075	0.09099910327364097
10	1	6	cursor	gaze_err	0.05849309567062847	0.9574558706422807	0.033424626097501985
10	1	7	cursor	gaze_err	0.07094570299274536	1.1612379327494888	0.0405404017101402
10	1	8	cursor	gaze_err	0.0672395001887923	1.1005902073022324	0.03842257153645274
10	1	9	cursor	gaze_err	0.029158860911901046	0.47732600423633753	0.016662206235372026
10	1	10	cursor	gaze_err	0.04522118093251043	0.7402396146080579	0.025840674818577387
10	1	11	cursor	gaze_err	0.070328535058149	1.1511388697266214	0.040187734318942285
10	1	12	cursor	gaze_err	0.03113859101640784	0.5097322215750366	0.01779348058080448
10	1	13	cursor	gaze_err	0.04124301614253758	0.6751261125292202	0.023567437795735762
10	1	14	cursor	gaze_err	0.004078786639590645	0.0667706154827589	0.002330735222623226
10	1	15	cursor	gaze_err	0.06110978597188111	1.0002791700156772	0.03491987769821778
10	1	16	cursor	gaze_err	0.019540585964424834	0.31988042073096584	0.011166049122528478
10	1	17	cursor	gaze_err	0.09315498714127877	1.524607946030182	0.05323142122358787
10	2	0	hand	gaze_err	0.08112053802802299	1.3277235632588245	0.04635459315887028
10	2	1	hand	gaze_err	0.0317011189844903	0.5189401876230575	0.01811492513399446
10	2	2	hand	gaze_err	0.07069221811495105	1.15709002705806	0.040395553208543454
10	2	3	hand	gaze_err	0.0699875714523135	1.1455594614176738	0.039992897972750574
10	2	4	hand	gaze_err	0.03181468529045087	0.5207991402938432	0.018179820165971923
10	2	5	hand	gaze_err	0.15465562450620154	2.530101183754278	0.08837464257497231
10	2	6	hand	gaze_err	0.08091216036866117	1.3243142013302454	0.04623552021066354
10	2	7	hand	gaze_err	0.05542983401509357	0.9073228768198317	0.031674190865767754
10	2	8	hand	gaze_err	0.10854859729477734	1.7763953109663018	0.06202776988272991
10	2	9	hand	gaze_err	0.015592603267927031	0.25525269956741325	0.008910059010244019
10	2	10	hand	gaze_err	0.0480165355947766	0.7859920734614445	0.027438020339872343
10	2	11	hand	gaze_err	0.014845110125977286	0.2430163017564271	0.00848292007198702
10	2	12	hand	gaze_err	0.05910537671555617	0.9674762196184249	0.03377450098031781
10	2	13	hand	gaze_err	0.05782853821736644	0.9465799204104777	0.033044878981352256
10	2	14	hand	gaze_err	0.04168122936749577	0.6822987540354908	0.02381784535285473
10	2	15	hand	gaze_err	0.01030611682266846	0.16871294012655824	0.005889209612953405
10	2	17	hand	gaze_err	0.04426250592285918	0.7245484554531425	0.025292860527348103
10	3	0	none	gaze_err	0.04822512718185633	0.7894061188418978	0.02755721553248933
10	3	1	none	gaze_err	0.010499525318959304	0.1718790523155916	0.005999728753691031
10	3	2	none	gaze_err	0.07560683027241549	1.2375081824606287	0.04320390301280885
10	3	3	none	gaze_err	0.06878015274867935	1.1258015131854107	0.039302944427816774
10	3	4	none	gaze_err	0.041190368152429026	0.674264372710576	0.023537353229959444
10	3	5	none	gaze_err	0.057863303589146306	0.9471488818746312	0.03306474490808361
10	3	6	none	gaze_err	0.021599983473215383	0.3535920511831299	0.01234284769898022
10	3	7	none	gaze_err	0.11502619348007352	1.8823269105571883	0.06572925341718487
10	3	9	none	gaze_err	0.08620758720831263	1.4109521197299522	0.04926147840475008
10	3	10	none	gaze_err	0.04110084729384099	0.6727990988198327	0.023486198453623423
10	3	11	none	gaze_err	0.09226662633367295	1.5100754786355721	0.05272378647638455
10	3	12	none	gaze_err	0.005669175511531671	0.09280558458867903	0.003239528863732383
10	3	13	none	gaze_err	0.12478571693372824	2.041905088334781	0.07130612396213042
10	3	14	none	gaze_err	0.04443156100206446	0.72731548052258	0.02538946342975112
10	3	15	none	gaze_err	0.019667144259413787	0.32195214321167925	0.01123836814823645
10	3	16	none	gaze_err	0.09832410685954025	1.6091643024682512	0.05618520391973729
10	3	17	none	gaze_err	0.02926667357349599	0.4790907985754423	0.016723813470569136
11	1	0	cursor	gaze_err	0.10905283398379488	1.784641808979655	0.06231590513359708
11	1	1	cursor	gaze_err	0.1319501624710211	2.159031062450251	0.0754000928405835
11	1	2	cursor	gaze_err	0.06671607413778351	1.0920247430114909	0.038123470935876286
11	1	3	cursor	gaze_err	0.07214365244283921	1.1808404409878914	0.041224944253050975
11	1	4	cursor	gaze_err	0.04058159300627495	0.6642999477764786	0.023189481717871403
11	1	5	cursor	gaze_err	0.18204237837704515	2.977391340324287	0.10402421621545437
11	1	6	cursor	gaze_err	0.2340632893002304	3.8259713371171307	0.1337504510287031
11	1	7	cursor	gaze_err	0.2189321399596725	3.57930443524242	0.12510407997695572
11	1	8	cursor	gaze_err	0.018874276998606297	0.30897312308255376	0.010785301142060742
11	1	9	cursor	gaze_err	0.07333897074839062	1.2003996192341182	0.04190798328479464
11	1	10	cursor	gaze_err	0.02406711183686757	0.3939777714459471	0.013752635335352897
11	1	11	cursor	gaze_err	0.1999223869244713	3.26922151346222	0.11424136395684076
11	1	12	cursor	gaze_err	0.14399456214856182	2.355894450945974	0.08228260694203533
11	1	13	cursor	gaze_err	0.16929249840179791	2.769197655385287	0.0967385705153131
11	1	14	cursor	gaze_err	0.07656871315164178	1.253246981168354	0.04375355037236674
11	1	15	cursor	gaze_err	0.09973586917294328	1.6322566786707564	0.056991925241681875
11	1	16	cursor	gaze_err	0.05324465242619895	0.8715595884783416	0.030425515672113688
11	1	17	cursor	gaze_err	0.04354004684185943	0.7127234998832799	0.02488002676677682
11	2	0	none	gaze_err	0.1967873304993267	3.2180642522347735	0.1124499031424724
11	2	1	none	gaze_err	0.024689603260760314	0.4041676003124157	0.014108344720434466
11	2	2	none	gaze_err	0.09037176426735921	1.4790772673975263	0.05164100815277669
11	2	3	none	gaze_err			
11	2	4	none	gaze_err	0.030351289010325997	0.49684490687214383	0.017343593720186283
11	2	5	none	gaze_err	0.019168555970338893	0.31379039310599666	0.010953460554479367
11	2	6	none	gaze_err	0.12048772757363933	1.9716323304505587	0.06885013004207961
11	2	7	none	gaze_err	0.06725245429145808	1.1008021905954934	0.03842997388083319
11	2	8	none	gaze_err	0.12784742638577568	2.0919607522582595	0.07305567222044325
11	2	9	none	gaze_err	0.025048403163536737	0.41004093809897035	0.014313373236306706
11	2	10	none	gaze_err	0.0210471017881817	0.3445415908147179	0.012026915307532398
11	2	11	none	gaze_err	0.08610283750811042	1.4092383822240186	0.04920162143320595
11	2	12	none	gaze_err	0.12160791689019422	1.9899481707929694	0.06949023822296813
11	2	13	none	gaze_err	0.038846498872928785	0.6358997275281614	0.022197999355959303
