ppid	session	trial	feedback	variable	error_m	error_deg	error_m_schwind
10	1	0	cursor	point_err	0.19828025295993457	3.2424261258236102	0.11330300169139118
10	1	1	cursor	point_err	0.13046067412476872	2.1346820244291114	0.07454895664272498
10	1	2	cursor	point_err	0.13069322924772697	2.1384837121505273	0.07468184528441542
10	1	4	cursor	point_err	0.04922321784075817	0.80574191923885	0.028127553051861813
10	1	5	cursor	point_err	0.0640424355775791	1.0482719532935483	0.03659567747290234
10	1	6	cursor	point_err	0.1520159531139006	2.4869719566602257	0.08686625892222892
10	1	7	cursor	point_err	0.14109374008803505	2.308485985937797	0.08062499433602002
10	1	8	cursor	point_err	0.08441104311409801	1.3815597553226535	0.048234881779484574
10	1	9	cursor	point_err	0.02821472713020786	0.46187136226212167	0.016122701217261635
10	1	10	cursor	point_err	0.08892329044889705	1.4553809748070994	0.05081330882794117
10	1	11	cursor	point_err	0.09154515773735175	1.4982730151763393	0.05231151870705814
10	1	12	cursor	point_err	0.12682751306290505	2.075286615010487	0.0724728646073743
10	1	13	cursor	point_err	0.09952545538103515	1.6288149468969384	0.05687168878916295
10	1	14	cursor	point_err	0.10189759911324438	1.6676153405024752	0.058227199493282505
10	1	15	cursor	point_err	0.19817086987951243	3.2406412257210357	0.11324049707400712
10	1	16	cursor	point_err	0.15512075350541937	2.5377005664522527	0.08864043057452538
10	1	17	cursor	point_err	0.1789713896007776	2.927251934823504	0.10226936548615863
10	2	0	hand	point_err	0.15451530484490913	2.5278085919169904	0.08829445991137665
10	2	1	hand	point_err	0.20590440530436827	3.3668204205590118	0.11765966017392472
10	2	2	hand	point_err	0.4308050929933197	7.017080056365389	0.24617433885332554
10	2	3	hand	point_err	0.17119845521436045	2.8003249449120418	0.09782768869392026
10	2	4	hand	point_err	0.1770418636804428	2.895746659411909	0.10116677924596731
10	2	5	hand	point_err	0.16377585151713814	2.679092930099564	0.09358620086693607
10	2	6	hand	point_err	0.20847637278359896	3.4087770698453315	0.11912935587634227
10	2	7	hand	point_err	0.2704202007911175	4.4180615739677105	0.15452582902349574
10	2	8	hand	point_err	0.22552707479089784	3.6868314596551532	0.12887261416622733
10	2	9	hand	point_err	0.12527654295862028	2.049929778991404	0.07158659597635446
10	2	10	hand	point_err	0.1357218517440427	2.220684299939245	0.07755534385373869
10	2	11	hand	point_err	0.15475448017824034	2.5317163175263375	0.08843113153042305
10	2	12	hand	point_err	0.25907555304965607	4.23340388690774	0.14804317317123203
10	2	13	hand	point_err	0.2673329671235159	4.367819383808398	0.15276169549915197
10	2	14	hand	point_err	0.14529976715798848	2.377224515990709	0.08302843837599343
10	2	15	hand	point_err	0.15378416104763779	2.5158627772514945	0.08787666345579302
10	2	17	hand	point_err	0.17158695991486309	2.806669638824425	0.09804969137992177
10	3	0	none	point_err	0.3445634789215784	5.6224637516148475	0.19689341652661624
10	3	1	none	point_err	0.16133485616971255	2.6392193048529267	0.09219134638269288
10	3	2	none	point_err	0.19301719470029358	3.1565370893369873	0.11029553982873919
10	3	3	none	point_err	0.3018644739998833	4.929390325545444	0.17249398514279046
10	3	4	none	point_err	0.15183706059048654	2.484048953782941	0.08676403462313516
10	3	5	none	point_err	0.42037648923473714	6.848849057519378	0.2402151367055641
10	3	6	none	point_err	0.06388784438148283	1.0457421059607082	0.036507339646561617
10	3	7	none	point_err	0.25752114000480314	4.208095637670921	0.1471549371456018
10	3	9	none	point_err	0.4021562701986073	6.554642850167714	0.22980358297063275
10	3	10	none	point_err	0.4585379865028545	7.463859836629692	0.2620217065730597
10	3	11	none	point_err	0.3769898320769465	6.147705925635463	0.21542276118682657
10	3	12	none	point_err	0.11781351384138904	1.9279055343923668	0.06732200790936517
10	3	13	none	point_err	0.1379966625461965	2.2578666057393058	0.0788552357406837
10	3	14	none	point_err	0.35609290726515175	5.809330723294454	0.20348166129437245
10	3	15	none	point_err	0.29490515895689623	4.816286865070731	0.16851723368965502
10	3	16	none	point_err	0.21117306779355324	3.452764475192663	0.120670324453459
10	3	17	none	point_err	0.3456259949289118	5.6396899082713405	0.19750056853080672
11	1	0	cursor	point_err	0.28753808803996667	4.696515525478016	0.16430747887998096
11	1	1	cursor	point_err	0.07903713370023203	1.2936356157364373	0.04516407640013259
11	1	2	cursor	point_err	0.4271551845075688	6.958214545702449	0.24408867686146787
11	1	3	cursor	point_err	0.14417694564883457	2.358875058076796	0.08238682608504833
11	1	4	cursor	point_err	0.13957082465773435	2.28359553554183	0.07975475694727678
11	1	5	cursor	point_err	0.13910256735305523	2.2759421887817473	0.07948718134460302
11	1	6	cursor	point_err	0.632681649631748	10.246489539403818	0.3615323712181417
11	1	7	cursor	point_err	0.16362441073558084	2.6766192221865683	0.09349966327747478
11	1	8	cursor	point_err	0.4021884855686627	6.555163350534637	0.22982199175352155
11	1	9	cursor	point_err	0.4686488882509285	7.626523606882772	0.2677993647148163
11	1	10	cursor	point_err	0.5794593693492285	9.400607492201848	0.33111963962813057
11	1	11	cursor	point_err	0.1715212254283295	2.8055961297610956	0.09801212881618829
11	1	12	cursor	point_err	0.43247975455469306	7.0440839258943155	0.24713128831696746
11	1	13	cursor	point_err	0.359197239586133	5.859624185764876	0.20525556547779028
11	1	14	cursor	point_err	0.1857281664878167	3.0375624162869292	0.10613038085018098
11	1	15	cursor	point_err	0.2210191649469795	3.6133350721283706	0.1262966656839883
11	1	16	cursor	point_err	0.1811570833213601	2.962937773893899	0.10351833332649149
11	1	17	cursor	point_err	0.11670372500693678	1.9097584127554201	0.06668784286110674
