ppid	session	feedback	occluded	obj_scale	age	gender	gaze_acc	gaze_rms	gaze_sd	ipd	wrist_cal_x	wrist_cal_y	wrist_cal_z	data_file	in_file
10	1	cursor	no	0.6	24	female	0.9437457471410251	0.0760718328691723	0.20790148591235483	54.87232699943996	-0.002716946299187839	0.17134247720241547	0.03226515278220177	VRpoint_10_1_20210409_153414_all.	trials_cursor_visible.tsv
10	2	hand	no	0.6	24	female	0.4388058175648727	0.1110190419555416	0.27537112838838806	54.83056514622261	-0.002716946299187839	0.17134247720241547	0.03226515278220177	VRpoint_10_2_20210409_154152_all.	trials_hand_visible.tsv
10	3	none	no	0.6	24	female	0.5224225204899249	0.14696609392657173	0.42563711975593665	54.78724935410186	-0.002716946299187839	0.17134247720241547	0.03226515278220177	VRpoint_10_3_20210409_154909_all.	trials_nofb_visible.tsv
11	1	cursor	no	0.6	20	female	1.0329071916697194	0.1694604249221313	0.4106541972984523	58.519719904346495	0.019161750562489033	0.16341482847929	0.0016693207435309887	VRpoint_11_1_20210412_152002_all.	trials_cursor_visible.tsv
11	2	none	no	0.6	20	female	0.6375656161188945	0.16839735986904542	0.29532208803335214	58.489046863609964	0.019161750562489033	0.16341482847929	0.0016693207435309887	VRpoint_11_2_20210412_152658_all.	trials_nofb_visible.tsv
11	3	hand	no	0.6	20	female	0.46748340951231987	0.12019116004179023	0.2253497484899603	58.51060867726062	0.019161750562489033	0.16341482847929	0.0016693207435309887	VRpoint_11_3_20210412_153442_all.	trials_hand_visible.tsv
12	1	none	no	0.6	20	female	0.7821979756456294	0.16902935441256034	0.6866982391162069	64.48743561317461	-0.03673671931028366	0.18039435148239136	0.0019918333855457604	VRpoint_12_1_20210414_114557_all.	trials_nofb_visible.tsv
12	2	cursor	no	0.6	20	female	0.7263291133998508	0.09594811564529869	0.24224906658341042	64.47914500044	-0.03673671931028366	0.18039435148239136	0.0019918333855457604	VRpoint_12_2_20210414_115253_all.	trials_cursor_visible.tsv
12	3	hand	no	0.6	20	female	0.6405315669801251	0.10141437524077572	0.27473617062570505	64.55685321866356	-0.03673671931028366	0.18039435148239136	0.0019918333855457604	VRpoint_12_3_20210414_115923_all.	trials_hand_visible.tsv
13	1	hand	no	0.6	24	male	0.5208650384850351	0.1353693470876171	0.34248463710325505	66.27666349088923	-0.009562893770635128	0.24323825538158417	-0.036836981773376465	VRpoint_13_1_20210414_132330_all.	trials_hand_visible.tsv
13	2	cursor	no	0.6	24	male	0.5651606067133084	0.18781927831460168	0.3529142964297545	66.4161566954673	-0.009562893770635128	0.24323825538158417	-0.036836981773376465	VRpoint_13_2_20210414_133008_all.	trials_cursor_visible.tsv
13	3	none	no	0.6	24	male	0.7272545608968068	0.11905526792645474	0.2640195956278677	66.37448332046871	-0.009562893770635128	0.24323825538158417	-0.036836981773376465	VRpoint_13_3_20210414_133705_all.	trials_nofb_visible.tsv
14	1	hand	no	0.6	22	male	0.5280183331403103	0.12378534920208509	0.23079913270301758	64.60711916226037	-0.04782361537218094	0.217736154794693	-0.031422230415046215	VRpoint_14_1_20210414_142428_all.	trials_hand_visible.tsv
14	2	none	no	0.6	22	male	0.5272582985957621	0.07800343009721089	0.23641966572510018	64.64610863129914	-0.04782361537218094	0.217736154794693	-0.031422230415046215	VRpoint_14_2_20210414_143017_all.	trials_nofb_visible.tsv
14	3	cursor	no	0.6	22	male	0.6884587569227967	0.05435523065262682	0.18008910056705363	64.7835499450842	-0.04782361537218094	0.217736154794693	-0.031422230415046215	VRpoint_14_3_20210414_143640_all.	trials_cursor_visible.tsv
